Date;Open;High;Low;Close;Adj Close;Volume
10/04/2001;2.544.583;2.800.000;2.521.250;2.719.583;2.494.680;118641600
11/04/2001;2.887.083;2.991.667;2.804.167;2.883.750;2.645.270;142687200
12/04/2001;2.830.417;3.052.083;2.776.250;2.927.083;2.685.020;144026400
16/04/2001;2.875.000;2.935.417;2.803.333;2.855.833;2.619.661;76411200
17/04/2001;2.813.750;3.018.750;2.812.500;2.995.833;2.748.085;111244800
18/04/2001;3.122.083;3.516.667;3.122.083;3.219.167;2.952.949;230186400
19/04/2001;3.237.500;3.551.250;3.222.917;3.495.833;3.206.735;163226400
20/04/2001;3.453.750;3.749.583;3.362.500;3.623.333;3.323.691;177384000
23/04/2001;3.544.583;3.547.917;3.395.833;3.432.083;3.148.257;123900000
24/04/2001;3.422.500;3.678.750;3.135.417;3.189.167;2.925.430;182832000
25/04/2001;3.197.500;3.449.583;3.185.417;3.335.833;3.059.967;142372800
26/04/2001;3.408.333;3.408.333;3.041.667;3.072.917;2.818.793;148600800
27/04/2001;3.191.667;3.305.417;3.129.583;3.291.667;3.019.453;91567200
30/04/2001;3.381.250;3.664.583;3.309.583;3.470.833;3.183.802;158328000
01/05/2001;3.483.333;3.804.167;3.427.083;3.795.000;3.481.162;186736800
02/05/2001;3.893.750;3.893.750;3.658.333;3.707.917;3.401.281;154778400
03/05/2001;3.595.833;3.708.333;3.573.333;3.691.667;3.386.374;96050400
04/05/2001;3.583.333;3.801.250;3.566.667;3.742.500;3.433.004;95352000
07/05/2001;3.728.333;3.937.500;3.684.583;3.910.417;3.587.035;97560000
08/05/2001;3.968.333;3.970.000;3.594.167;3.627.500;3.327.514;162014400
09/05/2001;3.512.083;3.588.333;3.433.333;3.457.500;3.171.572;131904000
